sample_id,condition,type
cac1_rep1,cac1,experimental
cac1_rep2,cac1,experimental
cac1_rep3,cac1,experimental
cac2_rep1,cac2,experimental
cac2_rep2,cac2,experimental
cac2_rep3,cac2,experimental
cac3_rep1,cac3,experimental
cac3_rep2,cac3,experimental
cac3_rep3,cac3,experimental
naf1_rep1,naf1,experimental
naf1_rep2,naf1,experimental
naf1_rep3,naf1,experimental
asf1_rep1,asf1,experimental
asf1_rep2,asf1,experimental
asf1_rep3,asf1,experimental
naf2_rep1,naf2,experimental
naf2_rep2,naf2,experimental
naf2_rep3,naf2,experimental
atrx_rep1,atrx,experimental
atrx_rep2,atrx,experimental
atrx_rep3,atrx,experimental
WT_rep1,WT,control
WT_rep2,WT,control
WT_rep3,WT,control
WT_rep4,WT,control
set7_rep1,set7,experimental
set7_rep2,set7,experimental
set7_rep3,set7,experimental
cac1_new_rep1,cac1_new,experimental
cac1_new_rep2,cac1_new,experimental
cac1_new_rep3,cac1_new,experimental
cac1_cac2_rep1,cac1_cac2,experimental
cac1_cac2_rep2,cac1_cac2,experimental
cac1_cac2_rep3,cac1_cac2,experimental
cac1_suz12_rep1,cac1_suz12,experimental
cac1_suz12_rep2,cac1_suz12,experimental
cac1_suz12_rep3,cac1_suz12,experimental
suz12_rep1,suz12,experimental
suz12_rep2,suz12,experimental
suz12_rep3,suz12,experimental
ash1_rep1,ash1,experimental
ash1_rep2,ash1,experimental
